@relation Datasets-04-weka.filters.unsupervised.attribute.Remove-R52-weka.filters.unsupervised.attribute.Remove-R52

@attribute Gender numeric
@attribute Marital_Stat numeric
@attribute Prog numeric
@attribute City numeric
@attribute Mode_Study numeric
@attribute Age numeric
@attribute Employ_Stat numeric
@attribute Family_Size numeric
@attribute Job_Course numeric
@attribute Sponsor numeric
@attribute prog_Motive numeric
@attribute NAAC numeric
@attribute 'Atten_ Lect' numeric
@attribute Sup_Area numeric
@attribute Sup_Busy numeric
@attribute incompact_Sup numeric
@attribute Sup_Not_uptodate numeric
@attribute Spu_Commitment numeric
@attribute Sup_Unavailable numeric
@attribute Sup_Expertise numeric
@attribute Study_conflits_job numeric
@attribute Access-Internet numeric
@attribute Diff_Research_Topic numeric
@attribute 'Lack_ICT Knowledge' numeric
@attribute Insuff_Know_Research numeric
@attribute Strike numeric
@attribute 'Lack_Proper Guide' numeric
@attribute 'Funding_ Prob' numeric
@attribute Accom_Prob numeric
@attribute poor_Lib_Equip_Lab numeric
@attribute Sub_Result numeric
@attribute 'Keep_No _ of Friends' numeric
@attribute Regular_Hangout numeric
@attribute 'Use_of _Stimulant' numeric
@attribute Access_Internet numeric
@attribute Sponsor_Partner_Enourage numeric
@attribute level numeric
@attribute First_Semester_Course {MTH101,MTH103,MTH105,PHY111,BIO111,CSC205,CSC211,STA201,GST201,GST203,no,CSC203,CHM101,STA101,GST103,GST105,GST101,PHY131,MTH201,MTH207,MTH209,CSC101,CSC204,CSC206,CSC208,CSC212,MTH208,STA202,PHY222,GST202,GST204,CHM121,CSC305,CSC307,CSC315,CSC321,CSC311,CSC301,CSC303,CSC313,0,MTH225,STA211,MTH221,CSC319,PHY211,GST205,MTH102,MTH104,MTH106,BIO112,CSC405,CSC409,CSC401,CSC403,CSC407,CSC411,CSC433}
@attribute Tatal_Grade_Score numeric
@attribute grade_Level {F,E,C,B,no,D,A,0}
@attribute trcu numeric
@attribute tecu numeric
@attribute tcp numeric
@attribute gpa numeric
@attribute cumtrcu numeric
@attribute cumtecu numeric
@attribute cumtcp numeric
@attribute cumgpa numeric
@attribute remarks_fst {MTH101@@@MTH103@@@MTH105@@@PHY111@@@BIO112@@@MTH102@@@MTH104@@@MTH106@@@PHY122@@@CSC211@@@STA201,CHM101@@@GST101@@@MTH105@@@PHY111@@@CHM122@@@GST102@@@GST106@@@MTH102@@@MTH104@@@MTH106@@@PHY122@@@PHY124@@@STA102@@@CSC203@@@CSC205,PHY131@@@CSC211,PHY131@@@CSC212,PHY131@@@CSC213,PHY131@@@CSC214,PHY111@@@CHM122@@@MTH102@@@PHY124@@@MTH201@@@STA201,PHY111@@@CHM122@@@MTH102@@@PHY124@@@MTH201@@@STA202,PHY111@@@CHM122@@@MTH102@@@PHY124@@@MTH201@@@STA203,PHY111@@@CHM122@@@MTH102@@@PHY124@@@MTH201@@@STA204,no,BIO111@@@GST101@@@MTH101@@@MTH103@@@MTH105@@@PHY111@@@STA101@@@BIO112@@@CHM122@@@CSC102@@@GST102@@@GST106@@@MTH102@@@MTH104@@@MTH106@@@PHY122@@@PHY124@@@STA102,PHY111@@@BIO112@@@CHM162@@@GST106@@@MTH102@@@MTH104@@@PHY122@@@PHY124@@@STA102,MTH201,GST102,CHM101@@@BIO112@@@GST104@@@GST106@@@MTH104@@@MTH106@@@PHY122@@@STA102@@@CSC203,CHM101,BIO111@@@MTH105@@@STA101@@@BIO112@@@GST102@@@GST104@@@GST106@@@MTH102@@@MTH104@@@MTH106@@@STA102@@@GST203@@@GST201,BIO111@@@CSC101@@@GST101@@@GST105@@@MTH101@@@MTH103@@@MTH105@@@PHY111@@@STA101@@@BIO112@@@CHM122@@@CSC102@@@GST102@@@GST104@@@GST106@@@GST108@@@MTH102@@@MTH104@@@MTH106@@@PHY122@@@PHY124@@@STA102,BIO111@@@MTH105@@@STA101@@@GST104@@@GST106@@@MTH102@@@GST203@@@GST201@@@GST202@@@GST204@@@PHY222,MTH105@@@PHY111@@@GST102@@@GST106@@@STA102@@@CSC205@@@CSC211@@@MTH207,CHM122@@@PHY122@@@PHY124,CHM121@@@MTH105@@@GST102@@@MTH102@@@MTH104@@@MTH106@@@PHY124@@@STA102@@@CSC211,PHY122,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,MTH201@@@MTH207,CHM122@@@GST102@@@MTH102@@@MTH104@@@MTH106@@@PHY122@@@PHY124@@@STA102,CHM101@@@MTH103@@@MTH105@@@GST104@@@MTH106@@@STA102@@@STA201,MTH104@@@MTH106@@@PHY122@@@MTH201@@@MTH209,PHY111@@@CHM122@@@PHY122@@@PHY124,BIO111@@@GST101@@@MTH101@@@MTH105@@@PHY111@@@BIO112@@@CHM122@@@CSC102@@@GST102@@@GST104@@@GST106@@@MTH102@@@MTH106@@@PHY122@@@PHY124@@@STA102,BIO111@@@BIO112@@@GST104@@@GST106@@@MTH102@@@MTH104@@@MTH106@@@PHY122@@@PHY124@@@STA102,GST104@@@MTH104@@@MTH106@@@STA102,PHY131@@@MTH201@@@MTH207,GST102@@@PHY124@@@CSC211,CHM121@@@GST101@@@PHY124@@@CSC211,MTH105@@@BIO112@@@CHM132@@@GST102@@@GST104@@@GST106@@@MTH102@@@MTH104@@@MTH106@@@PHY124@@@STA102,MTH101@@@MTH103@@@MTH105@@@PHY111@@@BIO112@@@MTH102@@@MTH104@@@MTH106@@@STA201@@@CSC204@@@STA202@@@CSC307@@@CSC315,PHY131@@@CSC307@@@CSC315@@@CSC311,CHM122@@@CSC301,PHY111@@@CSC205@@@STA211,CSC301,CSC302,CSC303,CSC304,CSC305,CSC306,CSC307,CSC308,CSC309,CSC310,CSC311,CSC312,CSC313,CHM101@@@PHY122@@@CSC205@@@MTH225@@@STA211,GST102@@@CSC208@@@MTH208@@@PHY222@@@GST202@@@CSC303@@@CSC307@@@MTH221,PHY122@@@CSC301@@@CSC315,MTH102@@@MTH104@@@CSC205@@@CSC204@@@STA202@@@PHY222@@@CSC307@@@CSC321,CSC208@@@MTH208@@@CSC313,CHM122@@@MTH106@@@CSC307@@@GST201,CHM101@@@MTH103@@@MTH105@@@GST104@@@STA201@@@MTH208@@@STA202@@@CSC301@@@CSC307@@@CSC315@@@CSC321,MTH104@@@MTH106@@@MTH201@@@CSC204@@@MTH208@@@GST202@@@GST204@@@CSC321@@@CSC205@@@PHY211@@@STA211,PHY111@@@CHM122,BIO111@@@BIO112@@@MTH104@@@PHY122@@@CSC307@@@CSC315@@@CSC321@@@STA201@@@GST203@@@GST205,GST104@@@MTH104@@@MTH208@@@MTH201,CSC208@@@MTH208@@@CSC321@@@GST201,MTH101@@@MTH103@@@MTH105@@@PHY111@@@BIO112@@@MTH102@@@MTH104@@@MTH106@@@STA201@@@CSC204@@@STA202@@@CSC307@@@CSC315@@@PHY222@@@GST202,PHY131@@@CSC311@@@CSC405@@@CSC409,PHY111@@@CSC205@@@STA211@@@CSC305,CSC409,CHM101@@@PHY122@@@CSC205@@@CSC206@@@CSC208@@@MTH226@@@STA212@@@CSC321@@@CSC311,GST102@@@CSC208@@@MTH208@@@PHY222@@@GST202@@@CSC303@@@MTH221@@@CSC401@@@CSC305,CHM122,MTH102@@@MTH104@@@MTH106@@@STA201,PHY122@@@CSC401,MTH102@@@MTH104@@@CSC205@@@CSC204@@@STA202@@@PHY222@@@CSC405@@@CSC303,CSC208@@@MTH208,CHM101@@@MTH103@@@GST104@@@STA201@@@MTH208@@@STA202@@@CSC307@@@CSC315@@@CSC321@@@CSC405@@@CSC409@@@CSC311,MTH104@@@MTH106@@@MTH201@@@CSC204@@@MTH208@@@GST202@@@GST204@@@CSC205@@@PHY211@@@STA211@@@CSC301@@@CSC305,BIO111@@@BIO112@@@MTH104@@@PHY122@@@CSC307@@@GST203@@@GST205@@@CSC305@@@CSC311,GST104@@@MTH104@@@MTH208,GST201}
@attribute cumtocu numeric
@attribute Second_Semester_Course {MTH102,MTH104,MTH106,PHY122,CSC204,CSC206,CSC208,CSC212,STA202,GST204,no,STA102,PHY124,GST102,GST106,BIO112,MTH208,PHY222,GST202,CHM122,CSC102,CHM162,GST104,GST108,CHM132,CSC398,MTH226,STA212,CSC222,CSC402,CSC400,CSC412,CSC406,CSC422,CSC404,CSC424}
@attribute tecu_snd numeric
@attribute tcp_snd numeric
@attribute gpa_snd numeric
@attribute cumtrcu_snd numeric
@attribute cumtecu_snd numeric
@attribute cumtcp_snd numeric
@attribute cumgpa_snd numeric
@attribute remarks {MTH101@@@MTH103@@@MTH105@@@PHY111@@@BIO112@@@MTH102@@@MTH104@@@MTH106@@@CSC211@@@STA201@@@CSC204@@@STA202,no,CHM101@@@GST101@@@MTH105@@@PHY111@@@CHM122@@@GST102@@@MTH102@@@PHY122@@@PHY124@@@CSC203@@@CSC205,CHM101@@@GST101@@@MTH105@@@PHY111@@@CHM122@@@GST102@@@MTH102@@@PHY122@@@PHY124@@@CSC203@@@CSC206,CHM101@@@GST101@@@MTH105@@@PHY111@@@CHM122@@@GST102@@@MTH102@@@PHY122@@@PHY124@@@CSC203@@@CSC207,CHM101@@@GST101@@@MTH105@@@PHY111@@@CHM122@@@GST102@@@MTH102@@@PHY122@@@PHY124@@@CSC203@@@CSC208,PHY131@@@CSC211,PHY131@@@CSC212,PHY131@@@CSC213,PHY131@@@CSC214,PHY111@@@CHM122@@@MTH201@@@STA201,PHY111@@@CHM122@@@MTH201@@@STA202,PHY111@@@CHM122@@@MTH201@@@STA203,BIO111@@@GST101@@@MTH101@@@MTH103@@@MTH105@@@PHY111@@@STA101@@@BIO112@@@CHM122@@@CSC102@@@GST102@@@GST106@@@MTH102@@@MTH104@@@MTH106@@@PHY122@@@PHY124,PHY111,MTH201,CHM101@@@PHY122@@@CSC203,CHM101,BIO111@@@MTH105@@@STA101@@@GST104@@@GST106@@@MTH102@@@GST203@@@GST201@@@GST202@@@GST204@@@PHY222,BIO111@@@CSC101@@@GST101@@@GST105@@@MTH101@@@MTH103@@@MTH105@@@PHY111@@@STA101@@@BIO112@@@CHM122@@@CSC102@@@GST104@@@GST108@@@MTH102@@@MTH104@@@MTH106@@@PHY122@@@PHY124@@@STA102,MTH105@@@PHY111@@@GST102@@@CSC205@@@CSC211@@@MTH207@@@CSC208@@@MTH208@@@PHY222@@@GST202,CHM122,CHM121@@@MTH105@@@MTH102@@@MTH104@@@MTH106@@@CSC211,PHY122,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,MTH201@@@MTH207,CSC208@@@MTH208,CHM122@@@MTH106,CHM101@@@MTH103@@@MTH105@@@GST104@@@STA201@@@MTH208@@@STA202,MTH104@@@MTH106@@@MTH201@@@MTH209@@@CSC204@@@MTH208@@@GST202@@@GST204,PHY111@@@CHM122,BIO111@@@GST101@@@MTH101@@@MTH105@@@PHY111@@@CHM122@@@GST102@@@GST106@@@MTH102@@@MTH106@@@PHY124@@@STA102,BIO111@@@BIO112@@@MTH104@@@PHY122,GST104@@@MTH104@@@MTH208,PHY131@@@MTH201@@@MTH207,CSC211,CHM121@@@GST101@@@CSC211@@@CSC208@@@MTH208,MTH105@@@BIO112@@@GST106@@@MTH104@@@GST202@@@GST204,PHY131@@@CSC307@@@CSC315@@@CSC311,CHM122@@@CSC301,PHY111@@@CSC205@@@STA211,CSC301,CHM101@@@PHY122@@@CSC205@@@MTH225@@@STA211@@@CSC206@@@CSC208@@@MTH226@@@STA212,GST102@@@CSC208@@@MTH208@@@PHY222@@@GST202@@@CSC303@@@CSC307@@@MTH221,MTH105@@@MTH102@@@MTH104@@@MTH106@@@STA201,MTH102@@@MTH104@@@CSC205@@@CSC204@@@STA202@@@PHY222@@@CSC307@@@CSC321,CSC208@@@MTH208@@@CSC313,CSC307@@@GST201,CHM101@@@MTH103@@@MTH105@@@GST104@@@STA201@@@MTH208@@@STA202@@@CSC301@@@CSC307@@@CSC315@@@CSC321,MTH104@@@MTH106@@@MTH201@@@CSC204@@@MTH208@@@GST202@@@GST204@@@CSC321@@@CSC205@@@PHY211@@@STA211,BIO111@@@BIO112@@@MTH104@@@PHY122@@@CSC307@@@CSC315@@@CSC321@@@STA201@@@GST203@@@GST205,GST104@@@MTH104@@@MTH208@@@MTH201,CSC208@@@MTH208@@@CSC321@@@GST201,PHY131@@@CSC311@@@CSC405@@@CSC409@@@CSC412@@@CSC406@@@CSC422,PHY111@@@CSC205@@@STA211@@@CSC305@@@CSC402@@@CSC404@@@CSC222,CSC412,CSC409@@@CSC412,CHM101@@@PHY122@@@CSC205@@@CSC206@@@CSC208@@@MTH226@@@STA212@@@CSC321@@@CSC311,PHY222@@@CSC303@@@MTH221@@@CSC401@@@CSC305@@@GST204,CHM122@@@CSC412@@@CSC222,MTH104@@@STA201,CSC401@@@CSC412@@@CSC424,MTH104@@@CSC205@@@CSC204@@@STA202@@@PHY222@@@CSC405@@@CSC303@@@CSC404@@@CSC422@@@CSC400,CSC404@@@CSC412,CHM101@@@MTH103@@@GST104@@@STA201@@@MTH208@@@STA202@@@CSC307@@@CSC315@@@CSC321@@@CSC405@@@CSC409@@@CSC311@@@CSC402@@@CSC404@@@CSC412@@@CSC422,MTH104@@@MTH201@@@CSC204@@@CSC205@@@PHY211@@@STA211@@@CSC301@@@CSC305@@@CSC400@@@CSC222,PHY111@@@CHM122@@@CSC222,BIO111@@@BIO112@@@MTH104@@@PHY122@@@CSC307@@@GST203@@@GST205@@@CSC305@@@CSC311@@@CSC412@@@CSC400@@@CSC212@@@GST202@@@GST204,CSC412@@@CSC222,GST201@@@CSC412}
@attribute cumtocu_snd numeric
@attribute degclass {Pass,Probation,Withdraw,not_graduate,Graduate}

@data
2,1,2,2,2,2,3,3,4,2,2,3,1,5,4,2,4,4,3,2,5,2,3,3,2,3,1,3,3,4,4,3,3,1,3,4,200,MTH201,40,E,24,24,69,2.88,70,66,173,2.47,PHY122,79,CSC212,20,52,2.36,92,86,225,2.45,PHY122,59,Pass
1,2,2,2,1,2,1,3,1,1,2,3,3,2,2,2,3,3,3,4,3,1,3,3,3,3,3,4,3,3,3,2,3,2,3,3,200,MTH207,71,A,24,24,69,2.88,70,66,173,2.47,PHY122,79,MTH208,20,52,2.36,92,86,225,2.45,PHY122,59,Pass
1,2,2,2,1,2,1,2,3,1,3,3,3,2,2,2,4,3,1,4,4,1,1,4,4,3,4,3,3,3,2,3,2,1,3,3,200,MTH209,42,E,24,24,69,2.88,70,66,173,2.47,PHY122,79,STA202,20,52,2.36,92,86,225,2.45,PHY122,59,Pass
1,2,2,2,1,2,3,1,4,2,5,3,1,3,4,2,2,2,3,2,5,2,3,3,2,3,2,3,3,4,4,3,3,1,3,4,200,STA201,57,C,24,24,69,2.88,70,66,173,2.47,PHY122,79,GST204,20,52,2.36,92,86,225,2.45,PHY122,59,Pass
2,1,2,2,2,2,1,3,1,1,1,3,3,1,2,1,3,3,3,4,3,4,3,3,3,3,3,4,3,3,5,2,3,2,3,3,200,GST203,70,A,24,24,69,2.88,70,66,173,2.47,PHY122,79,GST202,20,52,2.36,92,86,225,2.45,PHY122,59,Pass
2,1,2,2,2,2,1,2,1,1,4,3,3,1,2,1,3,3,3,4,3,1,3,3,3,3,3,4,3,3,5,2,3,2,3,3,200,PHY111,47,D,24,24,69,2.88,70,66,173,2.47,PHY122,79,PHY122,20,52,2.36,92,86,225,2.45,PHY122,59,Pass
2,1,2,2,2,2,1,2,3,1,2,4,2,3,3,4,3,3,2,4,4,3,3,3,3,3,3,4,3,3,4,2,2,1,3,3,200,no,0,no,24,24,69,2.88,70,66,173,2.47,PHY122,79,no,20,52,2.36,92,86,225,2.45,PHY122,59,Pass
2,1,2,2,1,2,1,2,2,1,2,2,3,1,5,2,3,3,3,4,3,4,3,3,3,3,3,4,3,3,4,2,3,1,2,3,200,no,0,no,24,24,69,2.88,70,66,173,2.47,PHY122,79,no,20,52,2.36,92,86,225,2.45,PHY122,59,Pass
2,1,2,2,2,2,1,2,3,1,2,4,2,1,3,3,3,3,2,4,4,1,3,3,3,3,3,4,3,3,4,2,2,1,2,3,200,no,0,no,24,24,69,2.88,70,66,173,2.47,PHY122,79,no,20,52,2.36,92,86,225,2.45,PHY122,59,Pass
2,1,2,2,2,1,1,1,1,1,1,3,1,3,1,1,1,3,3,4,4,2,3,3,3,4,5,4,5,4,2,4,3,1,3,3,200,CSC203,46,D,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,CSC204,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
2,1,2,2,1,3,1,3,4,1,2,4,5,4,3,4,3,3,4,4,4,2,3,2,3,3,3,4,3,3,3,2,3,1,4,3,200,CSC205,24,F,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,CSC206,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
2,2,2,1,2,2,1,2,2,1,4,2,2,3,1,3,3,3,3,4,3,1,3,3,3,3,3,4,3,3,4,2,3,1,2,3,200,CSC211,13,F,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,CSC208,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
2,2,2,2,1,3,1,3,4,1,2,4,5,4,3,3,3,3,4,4,4,2,3,2,3,3,3,4,3,3,3,2,3,2,3,3,200,MTH201,17,F,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,CSC212,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
1,2,2,2,1,2,1,3,3,1,2,4,2,2,3,4,3,3,2,4,4,1,3,3,3,3,3,4,3,3,4,2,2,1,2,3,200,MTH209,45,D,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,STA202,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
1,2,2,2,1,3,1,2,4,1,2,3,1,4,2,3,3,3,4,4,3,2,3,2,3,3,3,4,3,3,3,2,3,2,3,3,200,STA201,28,F,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,PHY222,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
2,2,2,2,2,2,1,3,1,1,1,3,3,2,2,4,3,3,3,4,3,2,3,3,3,3,3,4,3,3,5,2,3,2,3,3,200,GST201,46,D,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,GST204,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
2,2,2,2,1,3,1,3,4,1,2,3,3,2,2,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,3,2,3,2,3,3,200,GST203,40,E,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,GST202,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
2,1,2,2,2,1,1,3,3,1,1,3,3,3,2,2,5,5,5,4,4,2,2,2,5,4,5,3,4,3,2,4,2,1,3,3,200,PHY111,45,D,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,MTH102,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
2,2,2,2,2,2,1,3,1,1,3,3,3,1,2,2,3,3,3,4,3,1,3,3,3,3,3,4,3,3,3,2,3,2,3,3,200,no,0,no,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,MTH104,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
1,2,2,2,2,1,3,2,4,2,5,2,2,3,1,1,4,4,4,2,5,1,4,2,4,4,5,3,2,4,1,4,5,1,4,4,200,no,0,no,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,no,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
2,1,2,2,2,2,1,1,2,1,1,4,2,2,2,4,3,3,2,4,3,2,3,3,3,3,3,4,3,3,3,2,2,1,4,3,200,no,0,no,23,12,22,0.96,69,52,126,1.83,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201,93,no,11,17,0.71,93,63,143,1.54,MTH102@@@MTH104@@@CSC205@@@CSC211@@@MTH201@@@STA201@@@CSC204@@@STA202@@@PHY222,82,Pass
1,2,2,2,2,2,2,3,4,1,1,3,2,3,1,4,3,3,2,4,3,4,2,3,4,0,5,3,2,3,3,1,3,1,3,3,200,CSC203,64,B,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,CSC204,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
1,2,2,2,2,2,2,3,4,1,1,3,1,2,3,1,3,4,1,4,4,1,1,1,4,4,5,4,4,2,3,2,5,1,3,1,200,CSC205,51,C,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,CSC206,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
1,2,2,2,2,2,3,3,4,2,5,3,2,3,4,2,2,2,3,2,5,3,3,3,2,3,2,3,3,4,4,3,4,1,3,4,200,CSC211,45,D,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,CSC208,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
2,1,2,2,1,1,1,2,1,1,4,3,2,2,1,1,4,3,3,4,4,2,3,3,4,4,4,2,3,3,1,3,3,1,3,3,200,MTH201,22,F,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,CSC212,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
2,2,2,2,1,2,3,1,4,2,2,3,4,3,4,2,4,2,3,2,5,2,3,3,2,3,1,3,3,4,4,3,4,1,3,4,200,MTH207,28,F,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,MTH208,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
2,2,2,2,2,2,3,3,4,2,2,3,1,1,4,2,4,4,3,2,5,2,3,3,2,3,1,3,3,4,4,3,4,1,3,4,200,MTH209,40,E,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,STA202,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
1,2,2,2,2,2,3,1,4,2,5,3,1,1,4,2,2,2,3,2,5,3,3,3,2,3,2,3,3,4,4,3,3,1,3,4,200,STA201,73,A,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,PHY222,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
2,1,2,2,2,1,1,3,1,1,1,3,2,2,1,1,3,3,3,3,3,1,1,3,4,3,5,3,2,3,3,3,2,2,3,3,200,GST201,46,D,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,GST202,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
1,2,2,2,2,3,1,2,4,1,2,3,1,3,2,2,3,3,4,4,3,2,3,2,3,3,3,4,3,3,3,2,3,2,3,3,200,GST203,81,A,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,GST204,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
2,2,2,2,2,4,1,3,4,1,1,4,5,4,3,4,3,3,4,4,2,2,3,2,3,3,3,4,3,3,3,2,3,1,4,4,200,no,0,no,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,no,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
1,2,2,2,2,2,1,3,3,1,3,4,3,3,2,1,4,3,3,4,4,4,3,4,2,4,4,4,3,5,1,3,3,1,3,3,200,no,0,no,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,no,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
2,2,2,2,1,2,2,1,4,1,2,5,3,1,3,4,4,3,2,4,5,3,4,2,4,4,4,3,3,4,3,2,2,1,3,3,200,no,0,no,24,18,57,2.38,70,64,192,2.74,MTH201@@@MTH207,81,no,23,74,3.22,93,87,266,2.86,MTH201@@@MTH207,58,Pass
1,2,2,2,1,2,2,2,4,1,2,5,3,4,3,4,4,3,2,4,5,3,4,2,4,4,4,3,3,4,3,2,2,1,3,3,200,CSC203,67,B,24,24,87,3.63,70,66,229,3.27,no,79,CSC204,23,71,3.09,93,89,300,3.23,no,56,Pass
2,2,2,2,1,3,1,1,4,1,2,3,1,3,2,2,3,3,4,4,3,2,3,2,3,3,3,4,3,3,3,2,3,2,3,3,200,CSC205,76,A,24,24,87,3.63,70,66,229,3.27,no,79,CSC206,23,71,3.09,93,89,300,3.23,no,56,Pass
1,2,2,2,1,2,1,2,2,1,2,2,3,1,2,1,3,3,3,4,3,3,3,3,3,3,3,4,3,3,4,2,3,1,2,3,200,CSC211,51,C,24,24,87,3.63,70,66,229,3.27,no,79,CSC208,23,71,3.09,93,89,300,3.23,no,56,Pass
1,2,2,2,1,2,2,3,4,1,1,2,1,3,2,1,4,3,2,4,3,1,1,2,4,4,4,2,1,4,3,3,3,1,2,2,200,MTH201,45,D,24,24,87,3.63,70,66,229,3.27,no,79,CSC212,23,71,3.09,93,89,300,3.23,no,56,Pass
2,2,2,2,1,3,1,2,4,1,2,3,1,3,2,2,3,3,4,4,3,2,3,2,3,3,3,4,3,3,3,2,3,2,3,3,200,MTH207,60,B,24,24,87,3.63,70,66,229,3.27,no,79,MTH208,23,71,3.09,93,89,300,3.23,no,56,Pass
2,2,2,2,1,2,1,2,2,1,2,2,3,2,4,2,3,3,3,4,3,2,3,3,3,3,3,4,3,3,4,2,3,1,1,3,200,MTH209,42,E,24,24,87,3.63,70,66,229,3.27,no,79,PHY222,23,71,3.09,93,89,300,3.23,no,56,Pass
2,2,2,2,2,3,1,1,4,1,2,3,1,3,2,1,3,3,4,4,3,2,3,2,3,3,3,4,3,3,3,2,3,2,3,3,200,STA201,76,A,24,24,87,3.63,70,66,229,3.27,no,79,GST202,23,71,3.09,93,89,300,3.23,no,56,Pass
1,2,2,2,2,3,1,2,4,1,2,4,5,4,2,2,3,3,4,4,4,2,3,2,3,3,3,4,3,3,3,2,3,2,3,3,200,MTH103,76,A,24,24,87,3.63,70,66,229,3.27,no,79,GST204,23,71,3.09,93,89,300,3.23,no,56,Pass
